Date : 2024-04-02 14:33:22
Directory : /opt/lampp/htdocs/MitraPark/parts
Total : 1737 files,  -26738 codes, -159 comments, -6005 blanks, all -32902 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |          5 |       -352 |         -6 |        -83 |       -441 |
| XML        |      1,651 |     -4,126 |         -1 |         -6 |     -4,133 |
| PHP        |         64 |     -4,730 |       -111 |       -983 |     -5,824 |
| CSS        |         17 |    -17,530 |        -41 |     -4,933 |    -22,504 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |      1,737 |    -26,738 |       -159 |     -6,005 |    -32,902 |
| ..                                                                                           |      1,737 |    -26,738 |       -159 |     -6,005 |    -32,902 |
| .. (Files)                                                                                   |         23 |     -3,634 |        -39 |       -670 |     -4,343 |
| ../.idea                                                                                     |          4 |        -97 |          0 |          0 |        -97 |
| ../admin                                                                                     |          9 |     -1,496 |        -16 |       -172 |     -1,684 |
| ../admin (Files)                                                                             |          7 |     -1,443 |        -16 |       -169 |     -1,628 |
| ../admin/parts                                                                               |          2 |        -53 |          0 |         -3 |        -56 |
| ../assets                                                                                    |      1,665 |    -20,518 |        -29 |     -4,848 |    -25,395 |
| ../assets (Files)                                                                            |          1 |         -3 |          0 |          0 |         -3 |
| ../assets/css                                                                                |      1,649 |    -19,622 |        -25 |     -4,815 |    -24,462 |
| ../assets/css (Files)                                                                        |         10 |    -10,580 |        -25 |     -4,724 |    -15,329 |
| ../assets/css/boxicons                                                                       |      1,639 |     -9,042 |          0 |        -91 |     -9,133 |
| ../assets/css/boxicons/css                                                                   |          4 |     -5,753 |          0 |        -90 |     -5,843 |
| ../assets/css/boxicons/fonts                                                                 |          1 |     -1,653 |          0 |          0 |     -1,653 |
| ../assets/css/boxicons/svg                                                                   |      1,634 |     -1,636 |          0 |         -1 |     -1,637 |
| ../assets/css/boxicons/svg/logos                                                             |        155 |       -155 |          0 |          0 |       -155 |
| ../assets/css/boxicons/svg/regular                                                           |        814 |       -816 |          0 |         -1 |       -817 |
| ../assets/css/boxicons/svg/solid                                                             |        665 |       -665 |          0 |          0 |       -665 |
| ../assets/images                                                                             |         12 |       -740 |         -1 |         -5 |       -746 |
| ../assets/scripts                                                                            |          3 |       -153 |         -3 |        -28 |       -184 |
| ../assets/scripts (Files)                                                                    |          2 |         -1 |         -1 |         -1 |         -3 |
| ../assets/scripts/posts                                                                      |          1 |       -152 |         -2 |        -27 |       -181 |
| ../server                                                                                    |         35 |       -990 |        -75 |       -315 |     -1,380 |
| ../server (Files)                                                                            |          5 |       -245 |        -18 |        -59 |       -322 |
| ../server/api                                                                                |         30 |       -745 |        -57 |       -256 |     -1,058 |
| ../server/api (Files)                                                                        |         11 |       -310 |        -45 |        -94 |       -449 |
| ../server/api/comments                                                                       |          6 |       -166 |          0 |        -59 |       -225 |
| ../server/api/kurakani                                                                       |          4 |        -79 |         -2 |        -41 |       -122 |
| ../server/api/notification                                                                   |          1 |        -12 |          0 |          0 |        -12 |
| ../server/api/notifications                                                                  |          1 |         -2 |          0 |         -3 |         -5 |
| ../server/api/posts                                                                          |          3 |        -98 |        -10 |        -23 |       -131 |
| ../server/api/strict-mode                                                                    |          4 |        -78 |          0 |        -36 |       -114 |
| ../user_uploads                                                                              |          1 |         -3 |          0 |          0 |         -3 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                     | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /opt/lampp/htdocs/MitraPark/.idea/MitraPark.iml                                              | XML        |        -12 |          0 |          0 |        -12 |
| /opt/lampp/htdocs/MitraPark/.idea/modules.xml                                                | XML        |         -8 |          0 |          0 |         -8 |
| /opt/lampp/htdocs/MitraPark/.idea/vcs.xml                                                    | XML        |         -6 |          0 |          0 |         -6 |
| /opt/lampp/htdocs/MitraPark/.idea/workspace.xml                                              | XML        |        -71 |          0 |          0 |        -71 |
| /opt/lampp/htdocs/MitraPark/admin/index.php                                                  | PHP        |       -101 |          0 |        -24 |       -125 |
| /opt/lampp/htdocs/MitraPark/admin/logout.php                                                 | PHP        |         -4 |          0 |         -1 |         -5 |
| /opt/lampp/htdocs/MitraPark/admin/parts/navbar.php                                           | PHP        |        -13 |          0 |         -2 |        -15 |
| /opt/lampp/htdocs/MitraPark/admin/parts/sidebar.php                                          | PHP        |        -40 |          0 |         -1 |        -41 |
| /opt/lampp/htdocs/MitraPark/admin/script.js                                                  | JavaScript |        -49 |         -1 |        -20 |        -70 |
| /opt/lampp/htdocs/MitraPark/admin/style.css                                                  | CSS        |       -428 |         -7 |         -4 |       -439 |
| /opt/lampp/htdocs/MitraPark/admin/style1.css                                                 | CSS        |       -523 |         -8 |        -61 |       -592 |
| /opt/lampp/htdocs/MitraPark/admin/test.php                                                   | PHP        |       -176 |          0 |        -22 |       -198 |
| /opt/lampp/htdocs/MitraPark/admin/users.php                                                  | PHP        |       -162 |          0 |        -37 |       -199 |
| /opt/lampp/htdocs/MitraPark/assets/css/all.css                                               | CSS        |     -5,409 |         -7 |     -2,522 |     -7,938 |
| /opt/lampp/htdocs/MitraPark/assets/css/all.min.css                                           | CSS        |         -3 |         -5 |         -1 |         -9 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/css/animations.css                           | CSS        |       -354 |          0 |        -32 |       -386 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/css/boxicons.css                             | CSS        |     -5,373 |          0 |        -52 |     -5,425 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/css/boxicons.min.css                         | CSS        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/css/transformations.css                      | CSS        |        -25 |          0 |         -6 |        -31 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/fonts/boxicons.svg                           | XML        |     -1,653 |          0 |          0 |     -1,653 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-500px.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-99designs.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-adobe.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-airbnb.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-algolia.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-amazon.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-android.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-angular.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-apple.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-audible.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-aws.svg                        | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-baidu.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-behance.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-bing.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-bitcoin.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-blender.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-blogger.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-bootstrap.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-c-plus-plus.svg                | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-chrome.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-codepen.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-creative-commons.svg           | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-css3.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-dailymotion.svg                | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-deezer.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-dev-to.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-deviantart.svg                 | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-digg.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-digitalocean.svg               | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-discord-alt.svg                | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-discord.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-discourse.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-django.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-docker.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-dribbble.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-dropbox.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-drupal.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-ebay.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-edge.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-etsy.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-facebook-circle.svg            | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-facebook-square.svg            | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-facebook.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-figma.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-firebase.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-firefox.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-flask.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-flickr-square.svg              | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-flickr.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-flutter.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-foursquare.svg                 | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-git.svg                        | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-github.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-gitlab.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-gmail.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-go-lang.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-google-cloud.svg               | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-google-plus-circle.svg         | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-google-plus.svg                | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-google.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-graphql.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-heroku.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-html5.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-imdb.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-instagram-alt.svg              | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-instagram.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-internet-explorer.svg          | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-invision.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-java.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-javascript.svg                 | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-joomla.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-jquery.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-jsfiddle.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-kickstarter.svg                | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-kubernetes.svg                 | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-less.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-linkedin-square.svg            | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-linkedin.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-magento.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-mailchimp.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-markdown.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-mastercard.svg                 | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-mastodon.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-medium-old.svg                 | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-medium-square.svg              | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-medium.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-messenger.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-meta.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-microsoft-teams.svg            | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-microsoft.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-mongodb.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-netlify.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-nodejs.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-ok-ru.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-opera.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-patreon.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-paypal.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-periscope.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-php.svg                        | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-pinterest-alt.svg              | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-pinterest.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-play-store.svg                 | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-pocket.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-postgresql.svg                 | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-product-hunt.svg               | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-python.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-quora.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-react.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-redbubble.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-reddit.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-redux.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-sass.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-shopify.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-sketch.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-skype.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-slack-old.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-slack.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-snapchat.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-soundcloud.svg                 | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-spotify.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-spring-boot.svg                | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-squarespace.svg                | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-stack-overflow.svg             | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-steam.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-stripe.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-tailwind-css.svg               | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-telegram.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-tiktok.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-trello.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-trip-advisor.svg               | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-tumblr.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-tux.svg                        | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-twitch.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-twitter.svg                    | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-typescript.svg                 | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-unity.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-unsplash.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-upwork.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-venmo.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-vimeo.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-visa.svg                       | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-visual-studio.svg              | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-vk.svg                         | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-vuejs.svg                      | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-whatsapp-square.svg            | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-whatsapp.svg                   | XML        |         -1 |          0 |          0 |         -1 |
| /opt/lampp/htdocs/MitraPark/assets/css/boxicons/svg/logos/bxl-wikipedia.svg                  | XML        |         -1 |          0 |          0 |         -1 |
